"name","group","element","units","context","S408279","S408280","S408281","S408282","S408283","S408284","S408285","S408286","S408287","S408288","S408289","S408290","S408291","S408292","S408293","S408294","S408295","S408296","S408297","S408298","S408299","S408300","S408301","S408302","S408303","S408304","S408305","S408306","S408307","S408308","S408309","S408310","S408311"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,,5,10,15,20,25,30,32,34,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,147
Thickness,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,408279,408280,408281,408282,408283,408284,408285,408286,408287,408288,408289,408290,408291,408292,408293,408294,408295,408296,408297,408298,408299,408300,408301,408302,408303,408304,408305,408306,408307,408308,408309,408310,408311
EPD,Radiocarbon years BP,,,,--/482/--,--/684/--,--/887/--,--/1089/--,--/1292/--,--/1495/--,--/1697/--,--/1778/--,--/1859/--,--/1900/--,--/2102/--,--/2305/--,--/2507/--,--/2710/--,--/2913/--,--/3115/--,--/3318/--,--/3520/--,--/3723/--,--/3925/--,--/4128/--,--/4331/--,--/4533/--,--/4736/--,--/4938/--,--/5141/--,--/5343/--,--/5546/--,--/5748/--,--/5951/--,--/6154/--,--/6356/--,--/6437/--
Fossilva,Radiocarbon years BP,,,,--/--/--,--/270/--,--/541/--,--/811/--,--/1082/--,--/1352/--,--/1623/--,--/1731/--,--/1839/--,--/1893/--,--/2102/--,--/2305/--,--/2507/--,--/2710/--,--/2913/--,--/3115/--,--/3318/--,--/3520/--,--/3723/--,--/3925/--,--/4128/--,--/4331/--,--/4533/--,--/4736/--,--/4938/--,--/5141/--,--/5343/--,--/5546/--,--/5748/--,--/5951/--,--/6154/--,--/6356/--,--/6437/--
Giesecke et al. 2014 (MADCAP),Calibrated radiocarbon years BP,,,,59/-37/-140,321/231/140,591/500/410,869/768/667,1156/1036/919,1450/1304/1167,1748/1572/1412,1866/1679/1509,1986/1786/1606,2046/1840/1655,2250/2089/1943,2453/2336/2220,2689/2582/2491,2951/2829/2735,3232/3076/2941,3531/3323/3143,3829/3569/3340,4129/3816/3534,4433/4063/3729,4737/4310/3923,5044/4556/4117,5351/4803/4311,5658/5050/4504,5966/5297/4698,6273/5544/4891,6580/5790/5083,6887/6037/5275,7194/6284/5468,7502/6531/5660,7809/6777/5852,8116/7024/6044,8424/7271/6237,8547/7370/6314
Abies,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Acer,TRSH,pollen,NISP,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alnus,TRSH,pollen,NISP,,13,8,23,14,23,32,46,30,27,21,27,11,23,27,31,39,39,39,37,39,35,36,25,41,45,34,12,10,16,29,11,19,27
Amaranthaceae,UPHE,pollen,NISP,,5,2,1,2,,1,,,,1,,,1,1,,,,,2,1,,1,,1,,1,,,1,1,1,1,
Apiaceae,UPHE,pollen,NISP,,1,1,1,2,3,,1,,,,,1,,2,,,2,,1,,3,,1,2,,1,3,5,,1,,2,
Artemisia,UPHE,pollen,NISP,,,2,6,6,4,1,2,5,4,,2,4,3,1,1,2,1,,1,1,2,,2,2,,2,,1,4,3,2,,1
Asteroideae,UPHE,pollen,NISP,,1,3,,,2,2,1,1,2,1,,,,,,,,,1,,1,1,1,2,2,,3,3,,2,1,4,2
Betula,TRSH,pollen,NISP,,2,3,,4,3,4,4,5,4,6,4,9,4,2,3,5,3,1,5,4,9,4,3,2,6,5,9,4,5,4,5,2,1
Brassicaceae,UPHE,pollen,NISP,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,
Buxus,TRSH,pollen,NISP,,2,1,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
Calluna vulgaris,TRSH,pollen,NISP,,5,10,27,35,37,56,40,97,14,25,5,2,2,1,1,6,1,2,9,1,,3,1,5,3,3,1,,1,5,1,1,2
Campanulaceae,UPHE,pollen,NISP,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Caryophyllaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,1,,
Castanea,TRSH,pollen,NISP,,4,5,5,7,2,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Centaurea,UPHE,pollen,NISP,,,,1,3,1,2,1,,,,,1,,,,1,2,1,,1,,1,1,,,,,,1,1,,,1
Cichorioideae,UPHE,pollen,NISP,,4,3,3,5,2,,2,1,1,2,1,1,1,3,,,1,,,,1,5,,3,1,2,3,3,1,1,4,5,3
Corylus,TRSH,pollen,NISP,,14,13,27,33,28,25,46,50,44,40,58,55,52,51,68,102,92,115,103,117,101,125,127,99,130,110,126,135,115,115,152,123,129
Cupressaceae,TRSH,pollen,NISP,,,1,2,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,
Cyperaceae,UPHE,pollen,NISP,,18,5,25,11,38,20,64,17,25,24,11,17,19,16,20,41,20,50,33,21,24,16,35,16,9,23,27,37,29,18,31,27,20
Dipsacoideae,UPHE,pollen,NISP,,,,,,1,,,,1,,,,,,,,,,,,,2,1,1,1,1,,,,1,,,
Ericaceae,TRSH,pollen,NISP,,43,57,32,32,10,13,13,1,8,10,6,13,2,13,3,5,4,,4,3,1,2,3,2,2,1,,,3,2,2,,2
Euphorbia,UPHE,pollen,NISP,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Fabaceae,UPHE,pollen,NISP,,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Fagus,TRSH,pollen,NISP,,25,25,70,71,57,66,77,74,136,163,139,163,157,102,79,49,34,17,13,4,3,2,,1,,,,1,1,2,1,,4
Filipendula,UPHE,pollen,NISP,,2,,,,,1,,,1,1,,,,,,,,,,,1,,1,1,,1,1,1,2,1,,1,2
Fraxinus,TRSH,pollen,NISP,,2,2,,,1,6,,2,2,,1,,5,6,2,4,4,2,2,5,2,3,1,2,1,2,,6,2,2,1,,3
Gentianaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,1,,,,2,1,,,1,1,1,,,,1,,,,1,,1
Hedera,TRSH,pollen,NISP,,1,,,,,,,,,,1,,1,,1,,,,1,,,,,1,,,,,,,,,1
Hypericum,UPHE,pollen,NISP,,,6,,,,2,1,,,,,,,,,,,1,,,,,,1,,,,,,1,,,
Ilex,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,
Juglans,TRSH,pollen,NISP,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,UPHE,pollen,NISP,,,1,,,,,1,1,,1,,,,,,,,,1,,,,,,,,,,,,,,
Ligustrum,TRSH,pollen,NISP,,8,5,,1,,,,,,,,,,,,1,,,,1,2,,,1,,,,,2,1,,,2
Liliaceae,UPHE,pollen,NISP,,,,,,,2,,,,,,,,1,1,,4,,,,1,3,4,1,,2,7,7,5,8,4,16,
Melampyrum,UPHE,pollen,NISP,,,,,,,,,,,,1,1,,2,,,,,,,1,2,1,1,,,,,,,,,
Mercurialis,UPHE,pollen,NISP,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olea,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Phillyrea,TRSH,pollen,NISP,,,,,,,1,1,,,,,,,,,,,1,,,,1,,,,1,,,,,,,
Pinus,TRSH,pollen,NISP,,52,33,8,6,3,11,9,13,15,13,15,17,12,20,9,12,16,16,7,11,16,22,19,19,24,26,31,24,20,31,31,30,56
Pistacia,TRSH,pollen,NISP,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Plantago lanceolata-type,UPHE,pollen,NISP,,11,13,7,2,6,5,2,7,3,4,1,,2,1,,2,1,1,1,,,2,2,1,,,1,1,,,,,
Plantago media-type,UPHE,pollen,NISP,,,,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Platanus,TRSH,pollen,NISP,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poaceae,UPHE,pollen,NISP,,105,97,76,72,85,65,53,33,69,30,39,30,40,55,47,33,31,21,23,45,5,8,42,50,61,40,43,67,58,64,41,71,62
Poaceae (Cerealia-type),UPHE,pollen,NISP,,,3,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
Polypodium,VACR,spore,NISP,,,2,,1,,,,,,2,1,,1,,3,2,1,1,1,1,3,2,1,4,,1,,1,1,1,1,1,1
Potentilla,UPHE,pollen,NISP,,5,5,3,1,5,1,1,2,4,,1,1,,,,2,1,2,,,2,,4,5,,,2,4,3,1,4,,2
Pteridium,VACR,spore,NISP,,43,61,51,37,15,8,7,10,10,9,5,1,1,,,2,,5,1,6,4,2,9,8,10,6,18,7,2,4,1,9,6
Quercus ilex,TRSH,pollen,NISP,,4,6,1,4,5,4,,3,6,5,7,4,4,9,1,8,4,2,7,6,2,,6,2,10,1,3,1,2,2,1,2,3
Quercus robur-type,TRSH,pollen,NISP,,41,29,40,48,51,64,56,89,87,61,62,99,79,95,103,101,131,93,91,121,108,130,99,111,116,96,86,82,100,105,96,90,103
Quercus suber,TRSH,pollen,NISP,,3,,1,1,,2,,,,8,11,,8,10,4,2,6,13,7,4,1,2,3,1,,9,1,,,1,1,7,
Ranunculus,UPHE,pollen,NISP,,3,1,2,,1,,,,2,,1,,,5,3,,,,1,,,,1,1,1,,1,1,,,,,1
Rosaceae,UPHE,pollen,NISP,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,4,,,,
Rubiaceae,TRSH,pollen,NISP,,,2,1,1,,,,1,,,,,,,,,,,,,,,,,,1,,1,,,,,
Rumex,UPHE,pollen,NISP,,5,2,3,1,1,2,1,,1,1,,,,,,,2,1,1,,,,,,,1,,,,1,,,1
Salix,TRSH,pollen,NISP,,2,3,1,1,,,1,,1,,,,,,,,,,,,,1,,,,,1,,,,,,
Scrophulariaceae,UPHE,pollen,NISP,,1,,,,,,1,2,2,,,,,1,,,,,1,,,1,,1,,,,,,,1,,2
Sphagnum,AQBR,spore,NISP,,29,14,16,8,21,41,13,14,47,38,138,213,82,90,8,6,3,17,290,8,8,14,7,8,27,4,,1,4,7,2,4,11
Taxus,TRSH,pollen,NISP,,,,,,1,,1,,,,,1,1,,1,1,,,,,,,,,,1,6,1,3,,4,1,1
Thalictrum,UPHE,pollen,NISP,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,
Tilia,TRSH,pollen,NISP,,,,,,,,,,,,,2,,,,,,,,,,1,,1,2,,1,,,,1,,1
Typha angustifolia/Sparganium,AQVP,pollen,NISP,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Ulmus,TRSH,pollen,NISP,,1,,1,1,2,3,1,1,3,3,3,3,,1,2,4,5,,4,2,4,3,2,5,,8,11,6,1,3,6,4,4
Unknown (monolete),UNID,spore,NISP,,,,,,1,2,2,1,3,1,2,,2,,,,2,,1,,2,3,1,2,1,2,3,,1,,1,,
Urticalean Rosids,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Vitis,TRSH,pollen,NISP,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,