"name","group","element","units","context","S343174","S343175","S343176","S343177","S343178","S343179","S343180","S343181","S343182","S343183","S343184","S343185","S343186","S343187","S343188","S343189","S343190","S343191","S343192","S343193","S343194","S343195","S343196","S343197"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,,5,10,15,20,25,30,35,40,45,50,55,57,60,65,70,75,78,80,85,90,95,100,105
Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,343174,343175,343176,343177,343178,343179,343180,343181,343182,343183,343184,343185,343186,343187,343188,343189,343190,343191,343192,343193,343194,343195,343196,343197
C14 BP,Radiocarbon years BP,,,,--/--/--,--/91/--,--/182/--,--/272/--,--/363/--,--/536/--,--/777/--,--/1019/--,--/1261/--,--/1922/--,--/3912/--,--/5901/--,--/6697/--,--/7275/--,--/7866/--,--/8457/--,--/9049/--,--/9403/--,--/9640/--,--/10231/--,--/10822/--,--/11413/--,--/12005/--,--/12596/--
CAL BP,Calibrated radiocarbon years BP,,,,--/104/--,--/179/--,--/253/--,--/327/--,--/402/--,--/550/--,--/763/--,--/975/--,--/1187/--,--/1905/--,--/4226/--,--/6547/--,--/7475/--,--/8113/--,--/8718/--,--/9287/--,--/9892/--,--/10256/--,--/10498/--,--/11103/--,--/11708/--,--/12314/--,--/12919/--,--/13524/--
Giesecke et al. 2014 (MADCAP),Calibrated radiocarbon years BP,,,,-42/-321/-1156,-18/-265/-885,53/-190/-734,218/-76/-601,522/97/-424,982/348/-52,1622/713/206,2410/1236/674,3338/1967/1355,4411/2950/2250,5582/4186/3379,6769/5581/4709,7224/6160/5305,7932/7031/6172,9134/8480/7612,10524/9928/9029,12060/11376/10457,13005/12244/11284,13628/12823/11820,15198/14271/13057,16783/15719/14198,18366/17167/15318,19972/18615/16433,21584/20062/17517
Abies,TRSH,pollen,NISP,,12,9,7,11,9,8,18,15,21,9,7,5,3,7,11,4,,,,,4,3,2,5
Acer,TRSH,pollen,NISP,,1,,4,2,1,2,,,,2,1,1,1,2,2,,,3,5,1,,,,
Adonis,UPHE,pollen,NISP,,,,,,,,1,,,,,,,,1,,,,,1,,,,
Alnus,TRSH,pollen,NISP,,8,8,10,13,11,13,12,11,68,38,56,25,4,5,5,12,8,7,7,5,5,4,5,6
Amaranthaceae,UPHE,pollen,NISP,,,,,3,,,,,,,,2,1,,4,,,3,2,2,2,1,3,1
Apiaceae,UPHE,pollen,NISP,,,2,3,5,4,,2,,3,2,,2,3,4,3,3,7,4,6,4,3,4,4,6
Artemisia,UPHE,pollen,NISP,,3,4,5,7,7,5,5,5,7,8,7,5,6,5,3,4,11,15,22,11,4,3,8,9
Aster/Achillea-type,UPHE,pollen,NISP,,3,5,8,5,6,4,5,7,5,2,3,4,4,6,4,7,8,35,73,57,11,37,47,5
Betula,TRSH,pollen,NISP,,9,23,18,16,23,32,16,9,83,17,18,14,11,21,34,45,31,28,33,9,15,13,35,30
Boraginaceae,UPHE,pollen,NISP,,2,1,2,3,1,,2,,3,2,2,3,2,,2,1,,3,,3,,2,1,
Brassicaceae,UPHE,pollen,NISP,,3,9,8,13,7,8,6,,7,4,5,4,3,4,3,5,3,17,61,27,5,13,16,2
Bruckenthalia,TRSH,pollen,NISP,,,1,,2,,2,1,,,,,3,,,,,,,,,,,,
Campanula,UPHE,pollen,NISP,,,,5,2,2,,4,2,5,1,3,2,,3,2,,,,2,2,,4,,
Carduus-type,UPHE,pollen,NISP,,,2,2,,,1,,1,,,,,,,,,,,,,,,,
Carpinus betulus,TRSH,pollen,NISP,,3,4,7,8,6,12,17,8,14,5,3,6,3,2,6,2,2,1,2,1,4,2,1,3
Caryophyllaceae,UPHE,pollen,NISP,,4,3,5,7,6,2,2,5,6,3,4,3,4,4,3,4,7,7,8,6,4,6,5,2
Centaurea jacea-type,UPHE,pollen,NISP,,,,2,1,,2,3,2,4,3,,2,2,1,,2,2,,,3,2,1,2,
Convolvulus,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,2,,2,2,
Cornus,TRSH,pollen,NISP,,,1,2,,,1,1,2,3,,2,2,1,2,2,,,,3,1,2,,,
Corylus,TRSH,pollen,NISP,,8,18,22,24,18,16,11,8,31,12,12,11,23,39,75,37,27,18,16,11,13,11,18,23
Cyperaceae,UPHE,pollen,NISP,,24,18,65,138,99,64,86,91,274,397,362,191,90,35,54,38,57,45,54,37,51,19,39,69
Dianthus-type,UPHE,pollen,NISP,,3,2,2,,3,2,2,1,2,,,1,,1,2,1,2,2,4,1,1,,,
Ephedra distachya-type,TRSH,pollen,NISP,,,,,1,,,,,1,,,,,,2,2,,,8,1,3,,,
Ephedra fragilis-type,TRSH,pollen,NISP,,2,1,3,2,,,3,1,,1,3,1,,,4,2,1,1,7,3,,,2,
Equisetum,VACR,spore,NISP,,,3,4,8,2,3,2,7,17,22,25,17,2,,2,,,,,7,,,2,
Euphorbia,UPHE,pollen,NISP,,,1,2,,,,,,,,1,,,2,,,,,,,,,,
Fabaceae,UPHE,pollen,NISP,,3,4,8,5,4,2,1,2,3,,3,2,1,4,5,3,4,3,5,4,1,3,4,3
Fagus,TRSH,pollen,NISP,,16,33,55,75,68,78,82,53,80,31,42,33,9,11,17,6,4,1,2,3,12,4,8,11
Filipendula,UPHE,pollen,NISP,,,3,,,3,2,,,1,3,,,,,,,,,,,,,,
Fraxinus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,1,1,,,,,,,,
Gentianaceae,UPHE,pollen,NISP,,,,3,1,,2,,,2,,2,,2,,,2,,1,2,1,2,,1,
Geraniaceae,UPHE,pollen,NISP,,,,,,,,1,,,2,,2,,,,,,,7,12,,17,10,
Geum-type,UPHE,pollen,NISP,,2,2,1,,2,,1,,2,,1,,2,,,,,,,,,,,
Hedera,TRSH,pollen,NISP,,,,,,,,2,2,1,,,,,,2,,,,,,,,,
Helleborus,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,6,,,,
Humulus/Cannabis-type,UPHE,pollen,NISP,,1,2,2,,1,2,2,,5,,,2,2,,4,5,2,,,,,,,
Hypericum,UPHE,pollen,NISP,,,2,3,,1,,2,1,,,2,1,,,,,,,,,,,,
Juglans,TRSH,pollen,NISP,,2,3,5,3,2,3,,1,3,,2,2,1,3,6,4,1,2,,1,2,1,2,3
Juniperus,TRSH,pollen,NISP,,3,2,2,3,3,2,7,2,,,,3,1,3,2,1,,,,4,13,4,2,6
Lamiaceae,UPHE,pollen,NISP,,2,3,4,4,3,3,2,3,4,2,3,2,3,7,12,,3,7,17,8,2,4,7,2
Liliaceae,UPHE,pollen,NISP,,,,2,3,1,,,2,3,3,2,2,1,2,5,2,3,3,12,13,3,5,4,6
Lythrum,UPHE,pollen,NISP,,,,,,,2,,,,,,,,,,,,,,,,,,
Oleaceae,TRSH,pollen,NISP,,,2,4,2,,,,,2,,2,,3,,2,,,2,2,3,,,2,
Ostrya/Carpinus orientalis,TRSH,pollen,NISP,,13,26,25,23,28,60,27,24,45,22,25,16,9,8,13,6,7,5,6,3,5,7,5,11
Picea,TRSH,pollen,NISP,,105,74,35,67,53,62,87,105,102,108,33,40,5,8,7,5,,,2,2,13,5,3,14
Pinus subg. Pinus-type,TRSH,pollen,NISP,,483,487,465,582,505,378,515,485,415,457,310,307,437,570,353,515,458,311,337,95,338,105,273,511
Plantago,UPHE,pollen,NISP,,5,12,11,15,11,5,4,3,3,4,2,4,3,5,3,5,5,4,5,4,2,2,2,3
Platanus,TRSH,pollen,NISP,,2,5,5,2,1,,1,,,,,,,,6,,,,,,,,,
Poaceae,UPHE,pollen,NISP,,43,62,67,58,38,28,27,22,90,35,66,69,51,54,77,57,127,125,211,62,55,37,92,111
Poaceae (Cerealia-type),UPHE,pollen,NISP,,2,3,2,5,3,,2,1,5,,,,,,,,,3,2,3,4,1,,2
Polygonum,UPHE,pollen,NISP,,,,3,2,1,,,,,,,,,,,,,,,,,,,
Polypodiaceae,VACR,spore,NISP,,4,3,5,6,7,5,7,5,8,5,4,5,7,5,7,7,5,4,10,26,5,4,8,6
Polypodiophyta (trilete),VACR,spore,NISP,,3,5,8,21,34,5,19,24,13,11,8,21,20,33,38,83,25,42,153,198,27,41,72,41
Potamogeton,AQVP,pollen,NISP,,2,10,5,3,7,3,3,4,9,11,13,12,7,8,20,30,37,15,35,17,4,6,16,6
Potentilla,UPHE,pollen,NISP,,6,4,,,5,,2,,3,,,,,,,,,,,,,,,
Poterium sanguisorba,UPHE,pollen,NISP,,,,,,,,,2,2,,,,,1,2,,,,,1,2,,,
Primulaceae,UPHE,pollen,NISP,,2,1,,3,,2,2,1,3,,2,,3,2,,,,,,,,,,
Quercus,TRSH,pollen,NISP,,18,32,38,45,43,63,45,32,83,27,22,18,36,48,103,71,43,23,25,7,17,19,22,31
Ranunculaceae,UPHE,pollen,NISP,,5,11,17,21,16,15,9,11,15,11,7,8,11,13,19,16,15,13,14,9,7,13,15,15
Rosaceae,UPHE,pollen,NISP,,7,24,13,15,11,12,8,5,9,5,8,13,11,18,35,14,8,6,6,5,4,5,5,2
Rubiaceae,TRSH,pollen,NISP,,2,1,3,4,3,3,,3,3,,2,3,1,3,5,3,5,3,2,2,2,1,3,1
Rumex,UPHE,pollen,NISP,,2,3,8,5,6,3,2,1,3,2,2,1,3,2,4,,3,2,,1,2,1,,
Salix,TRSH,pollen,NISP,,1,3,3,1,2,3,2,,4,3,1,2,1,2,7,2,1,1,2,1,2,1,2,2
Sambucus,TRSH,pollen,NISP,,,,2,2,1,,3,,3,,,2,3,,,,,,,,,1,,
Saxifragaceae,UPHE,pollen,NISP,,,,3,1,,,2,2,,,2,1,,,,,,,2,13,,,,2
Scrophulariaceae,UPHE,pollen,NISP,,5,2,2,3,3,3,6,5,4,2,,3,,5,2,4,4,5,3,4,3,,,
Sphagnum,AQBR,spore,NISP,,,,,,3,2,,7,8,,4,8,2,,,,,,,,,,,
Taraxacum-type,UPHE,pollen,NISP,,3,3,5,5,4,3,6,4,5,,5,5,4,3,3,2,5,25,150,17,33,12,9,5
Thalictrum,UPHE,pollen,NISP,,,,,,,,,1,2,,,,,,,,,,,,,,,
Tilia,TRSH,pollen,NISP,,,2,2,3,2,2,1,2,1,1,2,,8,7,11,21,12,8,7,3,8,3,8,12
Typha/Sparganium-type,AQVP,pollen,NISP,,2,2,2,,,,2,,,,1,2,2,3,9,3,5,,,5,,,,
Ulmus,TRSH,pollen,NISP,,,2,5,6,3,3,2,2,4,,7,6,17,23,43,31,24,13,15,3,5,5,10,15
Urtica,UPHE,pollen,NISP,,2,,2,3,1,1,,,,,,,1,2,1,,,,,,,,,
Vaccinium-type,TRSH,pollen,NISP,,3,1,3,3,2,4,3,,3,2,2,21,,2,2,1,,2,3,2,4,2,1,2
Viola,UPHE,pollen,NISP,,,,,,,,,2,1,,2,,,1,,,,,,,,,,
Vitis,TRSH,pollen,NISP,,,,1,,,2,,2,,,,,,,,,,,,,,,,