"name","group","element","units","context","S333369","S333370","S333371","S333372","S333373","S333374","S333375","S333376","S333377","S333378","S333379","S333380","S333381","S333382","S333383","S333384","S333385","S333386","S333387","S333388","S333389","S333390","S333391","S333392","S333393","S333394","S333395","S333396","S333397","S333398","S333399","S333400","S333401","S333402","S333403","S333404","S333405"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,230,235,240,250,255,260,265,270,275,280,290,300,305,310,315,320,330,335,340,345,350,355,360,365,375,380,390,395,400,405,410,415,420,425,430,435,440
Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,333369,333370,333371,333372,333373,333374,333375,333376,333377,333378,333379,333380,333381,333382,333383,333384,333385,333386,333387,333388,333389,333390,333391,333392,333393,333394,333395,333396,333397,333398,333399,333400,333401,333402,333403,333404,333405
EPD,Radiocarbon years BP,,,,--/772/--,--/1016/--,--/1259/--,--/1747/--,--/1991/--,--/2234/--,--/2478/--,--/2722/--,--/2966/--,--/3209/--,--/3697/--,--/4184/--,--/4428/--,--/4672/--,--/4916/--,--/5159/--,--/5647/--,--/5891/--,--/6128/--,--/6306/--,--/6484/--,--/6663/--,--/6841/--,--/7019/--,--/7376/--,--/7554/--,--/7911/--,--/8053/--,--/8158/--,--/8264/--,--/8369/--,--/8475/--,--/8581/--,--/8686/--,--/8792/--,--/8897/--,--/9003/--
Fossilva,Radiocarbon years BP,,,,--/1200/--,--/1387/--,--/1573/--,--/1947/--,--/2133/--,--/2320/--,--/2507/--,--/2722/--,--/2966/--,--/3209/--,--/3697/--,--/4184/--,--/4428/--,--/4672/--,--/4916/--,--/5159/--,--/5647/--,--/5891/--,--/6128/--,--/6306/--,--/6484/--,--/6663/--,--/6841/--,--/7019/--,--/7376/--,--/7554/--,--/7911/--,--/8053/--,--/8158/--,--/8264/--,--/8369/--,--/8475/--,--/8581/--,--/8686/--,--/8792/--,--/8897/--,--/9003/--
Giesecke et al. 2014 (MADCAP),Calibrated radiocarbon years BP,,,,997/376/-192,1270/689/162,1544/1002/517,2093/1627/1218,2369/1940/1564,2647/2252/1903,2930/2565/2239,3217/2878/2570,3509/3190/2892,3803/3501/3202,4402/4117/3818,4996/4720/4413,5293/5015/4701,5588/5304/4981,5880/5587/5254,6165/5863/5524,6705/6391/6046,6957/6641/6298,7194/6882/6540,7418/7112/6773,7633/7333/6998,7840/7543/7216,8039/7745/7427,8230/7939/7628,8589/8302/8006,8761/8474/8185,9094/8799/8521,9253/8953/8671,9419/9103/8813,9586/9248/8942,9747/9390/9058,9916/9529/9174,10089/9666/9286,10263/9800/9393,10438/9934/9492,10614/10066/9584,10793/10199/9671
Alnus,TRSH,pollen,NISP,,22,18,44,36,65,36,48,63,54,53,82,55,64,61,96,89,92,65,127,116,149,211,161,188,116,70,44,13,7,3,3,1,,,,,
Amaranthaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Apiaceae,UPHE,pollen,NISP,,,,,1,,,,,,,,,,,,1,,1,,,,,1,,,,1,,1,,1,,,,,,
Artemisia,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,1,3,4
Asteroideae,UPHE,pollen,NISP,,2,,2,2,,,7,1,,4,5,1,,,2,,1,,,,,,,,,,,,1,1,,,,,1,,
Betula,TRSH,pollen,NISP,,161,129,173,138,192,173,226,195,213,195,198,228,187,230,193,182,260,240,224,208,222,247,187,206,259,320,325,315,277,312,303,300,367,347,420,391,408
Caryophyllaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Cichorioideae,UPHE,pollen,NISP,,1,,,,1,,1,3,,1,2,,1,,,,,,,,,,,,1,,,,,,,,,,,,
Corylus,TRSH,pollen,NISP,,3,3,,,4,8,4,,1,,4,12,3,8,29,26,23,10,5,9,13,23,16,8,10,6,5,3,5,3,5,2,5,,8,,11
Cyperaceae,UPHE,pollen,NISP,,24,35,34,19,29,8,38,10,12,15,7,8,11,4,2,14,7,2,4,1,11,7,19,4,6,4,6,10,6,3,10,1,9,10,,11,14
Ericaceae,TRSH,pollen,NISP,,13,67,28,12,20,16,6,9,7,7,8,5,6,1,4,13,9,12,8,7,3,9,4,13,4,13,15,20,11,12,10,11,11,12,41,34,40
Filipendula,UPHE,pollen,NISP,,,1,2,3,1,1,3,4,,,3,1,1,,2,1,,1,2,,2,2,2,3,2,,2,3,,6,5,2,6,10,3,2,4
Fraxinus,TRSH,pollen,NISP,,,3,,,,9,3,,4,,2,3,,1,,3,,1,,,3,,7,,,,,1,,,,,,,,1,
HippophaÃ«,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,3,,12,12,15
Juniperus,TRSH,pollen,NISP,,,,,,,3,3,,,,,3,,13,,,2,,,1,,,,,,2,,,,,,,,18,,17,
Lycopodium,VACR,spore,NISP,,10,3,6,2,4,3,3,10,3,3,4,1,2,4,2,2,7,2,,1,6,2,1,3,1,3,8,6,4,4,5,6,2,6,10,12,
Melampyrum,UPHE,pollen,NISP,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Myriophyllum,AQVP,pollen,NISP,,12,1,3,,2,2,,6,,6,,,,,,2,1,1,,,,1,1,,,,,,,,1,2,,1,10,8,7
Nymphaea,AQVP,pollen,NISP,,1,4,8,9,3,2,2,1,5,1,1,,2,,1,2,1,,1,4,1,,1,1,,,,,,1,,,,,,,8
Picea,TRSH,pollen,NISP,,19,9,22,37,17,4,6,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Pinus,TRSH,pollen,NISP,,289,364,270,304,255,267,229,253,252,265,223,186,271,201,206,202,195,176,142,176,120,74,138,112,107,105,163,225,201,105,179,180,108,125,65,63,51
Plantago lanceolata,UPHE,pollen,NISP,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poaceae,UPHE,pollen,NISP,,33,18,42,20,27,25,19,11,11,11,9,10,7,3,8,9,11,7,9,6,6,12,10,6,8,10,7,12,25,33,19,6,20,33,45,52,39
Poaceae (Cerealia-type),UPHE,pollen,NISP,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polypodiaceae,VACR,spore,NISP,,95,67,158,132,115,65,244,143,172,295,210,105,92,121,103,118,89,76,169,81,110,31,87,91,80,151,51,89,88,54,75,103,134,213,185,93,10
Populus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
Potamogeton,AQVP,pollen,NISP,,16,14,12,4,16,4,22,4,3,1,1,14,10,4,2,15,,,,1,11,14,25,3,,,,2,4,6,1,,,4,12,8,88
Potentilla-type,UPHE,pollen,NISP,,1,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,,,,10,,3,
Quercus,TRSH,pollen,NISP,,,,,1,,5,,2,,,,,1,2,1,1,,,,2,1,,3,1,1,,,,,1,,,,,,,
Ranunculus acris,UPHE,pollen,NISP,,2,2,3,,1,1,8,1,3,,2,,7,,2,1,2,,,2,1,2,,,1,,1,,,3,3,2,5,,7,6,4
Rosaceae,UPHE,pollen,NISP,,4,7,11,2,6,12,11,6,7,10,7,9,6,5,,6,5,1,5,6,10,8,10,7,3,10,2,2,3,7,8,4,3,10,17,14,6
Rubus,TRSH,pollen,NISP,,1,,,,,,1,,,,1,,1,,,1,,,,,,,,,,,,,,1,,,,,,,
Rumex,UPHE,pollen,NISP,,1,1,1,1,4,,,1,2,1,5,,1,,1,1,,,1,2,,1,1,,,,3,1,,2,2,,,5,11,7,5
Salix,TRSH,pollen,NISP,,5,1,1,,2,,8,5,4,1,,15,2,,2,3,,2,5,1,6,3,1,3,3,6,5,5,9,12,9,10,16,,9,,20
Sorbus,TRSH,pollen,NISP,,,,,,,,1,1,,,,,,,,2,3,,,,,,,,,,1,,,,1,,,,,,
Sphagnum,AQBR,spore,NISP,,9,12,8,15,8,5,5,3,1,,2,4,3,3,,1,,3,1,,,,5,3,1,,1,2,2,,,2,,2,,1,3
Succisa,UPHE,pollen,NISP,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Thalictrum,UPHE,pollen,NISP,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tilia,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,4,,2,
Ulmus,TRSH,pollen,NISP,,,3,,,1,4,5,3,3,4,2,12,13,10,11,11,10,6,,3,5,4,3,3,4,,,4,1,,,2,1,,,,1
Urtica,UPHE,pollen,NISP,,,2,,,,,,,,1,,,,,,,,,,1,,,,,,,,3,,,,,,,1,1,