Pediastrum,ALGA,colony,NISP,,708,963,290,647,1695,1566,194,1198,292,399,226,442,94,219,165,157,184,128,20,14,14,19,19,31,14,38,25,41,62,95,121,116,263,219,156,50,45,89,138,139,102,9,53,29,12,2,9,8,20,6,25,9,16,31,16,13,33,33,34,49,38,21,21,9,,1,,,,,3,,,,9,65,398,381,735,882,640,906,272,59,210,297,289,455,44
Unknown (pre-Quaternary),ANAC,pollen,NISP,,6,10,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,4,,3,5,,,,1,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,335,179,83,34,105,71,235,75,85,146,10,10
Sphagnum,AQBR,spore,NISP,,4,2,7,4,4,6,3,3,8,3,5,3,,3,7,5,,4,4,,1,2,,2,2,,1,2,3,5,4,1,4,7,8,9,7,3,5,,4,8,10,2,5,2,1,2,1,2,1,1,1,,,2,2,2,,3,9,6,19,13,4,1,8,6,16,30,53,104,79,21,1,4,4,4,5,2,5,4,6,14,5,1,,6,3
Alisma plantago-aquatica,AQVP,pollen,NISP,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,
Ceratophyllum,AQVP,leaf spine,NISP,,7,4,6,5,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,7,5,3,,,,,,,1,
Cladium mariscus,AQVP,pollen,NISP,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Elatine-type,AQVP,pollen,NISP,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,
Hippuris vulgaris,AQVP,pollen,NISP,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Hottonia palustris,AQVP,pollen,NISP,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
Hydrocotyle vulgaris,AQVP,pollen,NISP,,,1,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isoëtes,AQVP,spore,NISP,,,,,,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Menyanthes trifoliata,AQVP,pollen,NISP,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myriophyllum alterniflorum,AQVP,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,66,
Myriophyllum spicatum,AQVP,pollen,NISP,,,,,1,,,,,1,,,,,1,5,,,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,22,
Myriophyllum verticillatum,AQVP,pollen,NISP,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,2,,,,,,,,1,13,
Nymphaea candida,AQVP,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potamogeton,AQVP,pollen,NISP,,2,2,8,4,7,12,8,6,4,3,1,1,3,,8,2,1,,,,,,,1,,,,,,,,1,1,,,,,,2,1,2,3,,,,,,,,,,1,,1,,,,,,,1,1,,,,,,,,,,,,2,,,5,2,6,2,3,,4,2,2,2,5,17,5
Ranunculus sect. Batrachium,AQVP,pollen,NISP,,2,7,1,2,1,2,2,1,2,2,1,1,1,,4,1,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,1,,,,,,,,,1,,,2,,1,,,,,6,,,4,6,1,,,1,,,,
Stuckenia,AQVP,pollen,NISP,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,2,,,6,,,2,2,5,6,1
Typha angustifolia/Sparganium,AQVP,pollen,NISP,,4,1,,,2,1,,1,,,,1,,,,,,,,,,,,,,,,1,1,,,1,1,1,,,,,2,,,1,1,,,,3,,1,1,,,3,,,1,,1,2,,1,,2,3,1,1,5,1,,1,4,2,5,2,,1,,,1,,,1,,,,,1,,
Typha latifolia,AQVP,pollen,NISP,,2,,,,1,,,,,,,,,,1,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,1,,,,1,,,,1,,,,,,,,,,,,,
Giesecke et al. 2014 (MADCAP),Calibrated radiocarbon years BP,,,,475/211/8,489/260/83,504/309/154,522/358/221,542/407/284,566/455/345,598/503/405,637/551/463,680/598/511,733/645/552,793/692/590,859/743/630,933/798/675,1013/860/724,1098/930/782,1192/1010/852,1292/1102/935,1403/1207/1037,1526/1328/1159,1663/1467/1299,1752/1559/1390,1814/1624/1454,1879/1692/1523,1946/1763/1594,2016/1837/1667,2091/1914/1745,2168/1994/1826,2248/2077/1911,2331/2162/1999,2416/2251/2090,2503/2342/2184,2593/2436/2279,2686/2532/2377,2785/2632/2479,2890/2736/2587,2999/2844/2699,3115/2957/2816,3237/3076/2940,3363/3202/3068,3497/3335/3203,3637/3476/3339,3784/3626/3481,3939/3783/3630,4102/3947/3786,4272/4116/3949,4358/4203/4031,4446/4290/4114,4632/4468/4284,4825/4649/4458,5025/4835/4639,5231/5026/4828,5441/5223/5020,5655/5426/5215,5874/5637/5415,6099/5854/5622,6328/6077/5835,6563/6305/6056,6800/6537/6280,7040/6774/6509,7282/7014/6741,7526/7257/6977,7770/7503/7217,8017/7749/7462,8262/7997/7709,8506/8245/7959,8749/8492/8212,8989/8739/8465,9226/8984/8718,9461/9227/8970,9694/9468/9220,9924/9704/9464,10152/9937/9705,10842/10619/10400,11072/10843/10620,11531/11288/11042,11776/11511/11246,12028/11734/11443,12286/11957/11636,12545/12180/11826,12806/12403/12015,13067/12626/12201,13329/12848/12387,13590/13071/12570,13854/13294/12755,14249/13628/13030,14512/13851/13213,14775/14074/13396,15038/14297/13579,15434/14631/13854
name,group,element,units,context,S227212,S227213,S227214,S227215,S227216,S227217,S227218,S227219,S227220,S227221,S227222,S227223,S227224,S227225,S227226,S227227,S227228,S227229,S227230,S227231,S227232,S227233,S227234,S227235,S227236,S227237,S227238,S227239,S227240,S227241,S227242,S227243,S227244,S227245,S227246,S227247,S227248,S227249,S227250,S227251,S227252,S227253,S227254,S227255,S227256,S227257,S227258,S227259,S227260,S227261,S227262,S227263,S227264,S227265,S227266,S227267,S227268,S227269,S227270,S227271,S227272,S227273,S227274,S227275,S227276,S227277,S227278,S227279,S227280,S227281,S227282,S227283,S227284,S227285,S227286,S227287,S227288,S227289,S227290,S227291,S227292,S227293,S227294,S227295,S227296,S227297,S227298,S227299,S227300
EPD default,Radiocarbon years BP,,,,--/86/--,--/162/--,--/239/--,--/316/--,--/392/--,--/469/--,--/546/--,--/622/--,--/699/--,--/776/--,--/852/--,--/929/--,--/1006/--,--/1082/--,--/1159/--,--/1236/--,--/1312/--,--/1389/--,--/1466/--,--/1542/--,--/1640/--,--/1712/--,--/1785/--,--/1857/--,--/1929/--,--/2001/--,--/2073/--,--/2145/--,--/2217/--,--/2290/--,--/2362/--,--/2434/--,--/2507/--,--/2581/--,--/2655/--,--/2729/--,--/2804/--,--/2878/--,--/2952/--,--/3026/--,--/3100/--,--/3278/--,--/3456/--,--/3634/--,--/3812/--,--/3901/--,--/3990/--,--/4092/--,--/4193/--,--/4295/--,--/4397/--,--/4498/--,--/4600/--,--/4833/--,--/5067/--,--/5300/--,--/5533/--,--/5767/--,--/6000/--,--/6233/--,--/6467/--,--/6700/--,--/6933/--,--/7167/--,--/7400/--,--/7633/--,--/7867/--,--/8100/--,--/8333/--,--/8567/--,--/8800/--,--/8943/--,--/9373/--,--/9517/--,--/9803/--,--/9947/--,--/10090/--,--/10233/--,--/10377/--,--/10520/--,--/10663/--,--/10807/--,--/10950/--,--/11093/--,--/11308/--,--/11452/--,--/11595/--,--/11738/--,--/11953/--
Author preferred,Radiocarbon years BP,,,,--/-18/--,--/62/--,--/142/--,--/222/--,--/302/--,--/382/--,--/462/--,--/542/--,--/622/--,--/705/--,--/789/--,--/873/--,--/956/--,--/1040/--,--/1123/--,--/1207/--,--/1291/--,--/1374/--,--/1458/--,--/1542/--,--/1638/--,--/1709/--,--/1780/--,--/1851/--,--/1922/--,--/1992/--,--/2063/--,--/2134/--,--/2205/--,--/2275/--,--/2346/--,--/2417/--,--/2489/--,--/2565/--,--/2642/--,--/2718/--,--/2795/--,--/2871/--,--/2947/--,--/3024/--,--/3100/--,--/3278/--,--/3456/--,--/3634/--,--/3812/--,--/3901/--,--/3990/--,--/4047/--,--/4104/--,--/4161/--,--/4218/--,--/4275/--,--/4332/--,--/4388/--,--/4445/--,--/4502/--,--/4559/--,--/4616/--,--/4673/--,--/4730/--,--/5100/--,--/5470/--,--/5840/--,--/6210/--,--/6580/--,--/6950/--,--/7320/--,--/7690/--,--/8060/--,--/8430/--,--/8800/--,--/8943/--,--/9373/--,--/9517/--,--/9830/--,--/10000/--,--/10050/--,--/10100/--,--/10150/--,--/10200/--,--/10250/--,--/10300/--,--/10383/--,--/10467/--,--/10592/--,--/10675/--,--/10758/--,--/10875/--,--/11100/--
Abies alba,TRSH,pollen,NISP,,,,1,,,,,,,,,1,,,,,1,,1,,,,,1,1,,,2,,,1,1,,,2,,,,,,1,,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer,TRSH,pollen,NISP,,3,1,,,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,,,1,1,1,,5,3,4,,5,2,6,4,6,2,4,2,7,3,4,5,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Alnus,TRSH,pollen,NISP,,41,29,55,59,56,64,70,62,147,140,192,244,211,203,154,136,116,124,240,175,140,187,318,212,260,187,280,147,169,135,140,159,125,107,150,141,134,150,205,201,213,171,172,110,219,226,139,218,141,175,242,201,231,164,153,161,200,237,226,170,173,200,137,187,173,197,149,182,71,54,33,2,1,,,,,,,,1,1,2,2,,,,,
Arctostaphylos,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,,,,,,,,1,,,,,,2,,1
Betula,TRSH,pollen,NISP,,107,97,50,58,97,100,81,115,219,166,195,243,227,164,199,190,195,175,102,172,243,242,273,186,260,207,289,217,323,196,186,199,137,151,186,201,195,191,248,259,211,174,171,107,252,143,159,174,138,149,148,155,250,105,113,103,151,130,172,146,209,385,280,351,256,393,266,250,246,318,536,283,250,459,779,965,465,191,250,303,246,174,57,60,132,87,142,84,54
Betula nana,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,17,75,61,67,52,66,86,53,11,11,22,34,70,30,15
Calluna vulgaris,TRSH,pollen,NISP,,18,17,16,27,46,54,34,39,48,45,32,32,25,20,26,18,28,16,12,9,2,7,13,4,10,6,5,7,10,8,8,13,10,11,9,4,7,16,19,15,20,14,19,11,5,1,3,3,4,3,4,1,7,5,1,1,1,5,2,4,2,1,12,1,5,1,1,1,3,3,8,4,7,,,1,1,,,1,,,,,,,1,,
Carpinus,TRSH,pollen,NISP,,5,4,5,7,9,8,8,8,23,37,39,30,38,45,34,44,43,35,60,47,36,30,38,28,50,51,42,26,44,27,18,31,21,17,15,11,18,16,10,15,20,15,15,3,15,3,4,1,,5,,1,,,1,3,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornus cf. C. suecica,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Corylus,TRSH,pollen,NISP,,7,6,16,19,19,22,33,28,63,30,28,24,16,28,26,31,29,28,19,35,51,31,49,53,58,56,58,51,54,41,40,42,34,66,88,101,85,93,109,98,119,116,93,56,295,244,275,449,327,351,351,313,300,166,156,121,160,295,307,242,152,145,101,191,157,230,197,196,202,259,473,168,141,32,,,1,,1,2,5,,,,,,,1,
Empetrum,TRSH,pollen,NISP,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,33,25,41,54,76,42,20,7,31,35,60,6,1
Ephedra distachya,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,
Ericaceae undiff.,TRSH,pollen,NISP,,,,,1,3,4,4,,2,5,2,,1,3,2,1,1,1,,,,,2,,,1,,,,,2,,1,1,,,,,2,2,2,2,,2,,,,,,,,,,,,,,2,,,,2,1,2,,2,,1,1,6,,7,1,4,,2,3,,2,,1,1,,,,1,,1,
Euonymus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fagus,TRSH,pollen,NISP,,29,21,25,19,29,27,16,28,31,44,81,99,95,170,197,219,213,181,468,331,229,194,272,250,343,213,262,135,162,134,85,62,45,26,24,34,29,16,24,18,19,32,20,10,45,2,1,2,5,4,6,1,3,2,,2,1,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frangula,TRSH,pollen,NISP,,,,,,,,,1,,,,,2,,4,2,1,,,,,,,,,,,1,,1,,,1,2,1,,,,,1,1,,,,2,1,,1,,,,1,3,1,,2,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Fraxinus,TRSH,pollen,NISP,,2,3,2,4,1,1,2,3,3,6,2,3,3,4,5,6,8,,13,11,5,7,4,9,4,2,3,4,5,,,6,1,5,6,15,6,9,13,7,4,10,5,8,39,62,23,17,23,25,30,19,22,23,32,34,32,31,20,8,21,21,19,9,1,,2,1,,3,2,,2,,,,,,,,,,,,,,,,
Hedera helix,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,1,1,,,,,,,2,2,5,1,,,,,,1,6,6,1,2,,3,3,2,,,1,,2,,2,,,,,,,,,,,,,,,,,,,,,
Hippophaë,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilex aquifolium,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juniperus,TRSH,pollen,NISP,,25,24,94,51,69,54,24,13,8,,1,,,,2,,,,3,,,1,1,2,,1,,2,,,1,,4,,,,1,1,1,1,,,,1,,,1,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,4,11,136,177,241,292,193,257,183,91,280,201,374,43,9
Larix,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,
Lonicera periclymenum,TRSH,pollen,NISP,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
