"name","group","element","units","context","S223285","S223286","S223287","S223288","S223289","S223290","S223291","S223292","S223293","S223294","S223295","S223296","S223297","S223298","S223299","S223300","S223301","S223302","S223303","S223304","S223305","S223306"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105
Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,223285,223286,223287,223288,223289,223290,223291,223292,223293,223294,223295,223296,223297,223298,223299,223300,223301,223302,223303,223304,223305,223306
author preferred,Calibrated radiocarbon years BP,,,,--/--/--,--/53/--,--/107/--,--/160/--,--/213/--,--/402/--,--/726/--,--/1049/--,--/1373/--,--/1697/--,--/2021/--,--/2344/--,--/2668/--,--/2992/--,--/3316/--,--/3589/--,--/3828/--,--/4068/--,--/4308/--,--/4547/--,--/4787/--,--/5027/--
Giesecke et al. 2014 (MADCAP),Calibrated radiocarbon years BP,,,,16/-64/-196,106/-2/-106,208/72/-70,333/169/-10,488/302/82,683/480/240,916/708/477,1190/978/748,1494/1284/1057,1827/1620/1403,2177/1978/1772,2544/2352/2157,2918/2736/2554,3288/3123/2953,3653/3506/3358,4007/3879/3746,4369/4241/4123,4740/4598/4467,5131/4953/4785,5542/5308/5088,5958/5663/5384,6380/6018/5679
Abies,TRSH,pollen,NISP,,5,2,8,11,21,17,8,15,6,3,8,32,11,15,51,59,25,105,155,160,96,150
Acer,TRSH,pollen,NISP,,,2,2,1,5,4,2,,,,,1,6,,5,3,2,5,4,7,2,4
Alnus,TRSH,pollen,NISP,,13,5,8,15,8,19,25,12,17,23,15,35,31,27,25,15,25,35,45,31,35,31
Amaranthaceae,UPHE,pollen,NISP,,5,13,8,17,4,5,8,2,3,5,2,3,3,5,3,3,,3,5,2,3,2
Apiaceae,UPHE,pollen,NISP,,11,7,27,6,7,17,15,11,16,8,13,25,5,6,13,11,17,21,23,18,13,15
Artemisia,UPHE,pollen,NISP,,5,13,9,19,12,27,33,5,6,10,10,15,13,11,8,4,5,8,6,4,3,3
Aster/Achillea-type,UPHE,pollen,NISP,,5,11,22,15,22,65,30,22,11,11,13,57,53,55,50,25,27,33,50,52,56,69
Avena/Triticum-type,UPHE,pollen,NISP,,2,6,15,11,3,11,5,11,2,,2,9,28,3,16,10,7,5,15,7,6,15
Betula,TRSH,pollen,NISP,,3,15,9,4,6,7,12,11,4,10,8,31,25,11,145,255,165,175,67,12,5,6
Boraginaceae,UPHE,pollen,NISP,,4,1,2,,,1,2,,3,,1,,2,,1,,,,2,,3,2
Botrychium,VACR,spore,NISP,,,1,,1,,,2,,1,2,2,1,,1,3,2,,1,1,2,2,3
Brassicaceae,UPHE,pollen,NISP,,6,6,15,11,4,11,5,3,7,5,3,9,3,4,11,3,3,7,9,4,9,3
Butomus,AQVP,pollen,NISP,,,,,3,,3,1,2,5,4,,,4,3,9,7,11,7,33,41,45,30
Campanulaceae,UPHE,pollen,NISP,,4,11,15,6,4,13,10,3,11,1,2,3,10,,11,2,2,1,4,3,6,2
Carpinus betulus,TRSH,pollen,NISP,,8,16,9,9,5,8,12,3,6,8,3,5,7,7,5,8,3,7,13,17,15,14
Caryophyllaceae,UPHE,pollen,NISP,,14,18,11,23,17,45,27,17,15,7,15,37,25,31,20,8,5,15,21,24,25,33
Centaurea cyanus,UPHE,pollen,NISP,,,,2,3,2,1,2,,,1,,2,1,2,2,,2,1,,,,
Centaurea jacea-type,UPHE,pollen,NISP,,3,2,4,3,2,5,5,2,3,2,,13,3,,3,,,2,4,1,3,2
Cirsium-type,UPHE,pollen,NISP,,2,1,2,,3,2,,1,,,,,,2,1,2,,1,2,1,,4
Convolvulus,UPHE,pollen,NISP,,,,,,,5,2,,,,,,,1,,,,1,1,3,2,1
Cornus,TRSH,pollen,NISP,,3,6,2,,2,6,3,2,5,4,13,11,5,5,2,3,,1,4,5,3,2
Corylus,TRSH,pollen,NISP,,11,22,9,13,11,17,21,8,9,11,13,18,15,11,31,47,41,61,29,21,28,19
Cyperaceae,UPHE,pollen,NISP,,47,278,111,600,210,270,451,333,285,325,155,27,17,37,62,26,15,5,35,47,38,35
Epilobium-type,UPHE,pollen,NISP,,,,2,,,,1,2,,3,,,,,,,,,,,1,
Equisetum,VACR,spore,NISP,,,,,,,,,,,,,,,2,,,,,,,,
Euphorbia,UPHE,pollen,NISP,,,,,,,2,,,5,2,1,,,,,,,,,,,
Fabaceae,UPHE,pollen,NISP,,33,8,21,11,6,13,9,3,7,5,11,51,26,11,17,6,2,3,8,6,4,8
Fagus,TRSH,pollen,NISP,,65,115,185,230,320,220,222,240,287,225,138,175,135,248,70,16,9,21,18,17,5,7
Fraxinus,TRSH,pollen,NISP,,2,,1,1,,,2,2,3,,,,,1,1,,2,3,11,3,10,2
Gentianaceae,UPHE,pollen,NISP,,2,1,1,2,1,1,,1,2,,2,2,,,,,,,1,,2,1
Geranium,UPHE,pollen,NISP,,2,2,1,,,,,,,,,1,1,,,1,,,1,,,
Hedera,TRSH,pollen,NISP,,,2,2,,1,2,,1,2,,,,,1,,,,1,,1,,
Helianthemum,UPHE,pollen,NISP,,,1,,1,,,2,1,3,,,,,2,,2,1,,,,,
Humulus/Cannabis-type,UPHE,pollen,NISP,,,3,12,14,3,11,3,2,6,4,2,,,2,,7,5,8,33,14,22,14
Hypericum,UPHE,pollen,NISP,,,2,,,,,,1,3,1,,,,,,,1,,,,,
Juglans,TRSH,pollen,NISP,,3,2,6,5,3,5,8,7,4,5,2,4,4,3,,1,3,3,4,5,10,6
Juniperus,TRSH,pollen,NISP,,4,8,3,2,,2,,2,1,1,,,1,2,1,2,,1,2,2,,
Knautia,UPHE,pollen,NISP,,2,3,2,1,3,2,2,,,,2,2,3,1,2,2,1,3,6,2,1,2
Lamiaceae,UPHE,pollen,NISP,,5,9,8,6,3,11,8,4,2,2,1,6,5,3,7,8,15,8,21,32,17,15
Liliaceae,UPHE,pollen,NISP,,1,,6,,,2,3,2,3,,1,2,,3,1,1,7,3,8,10,11,4
Linum,UPHE,pollen,NISP,,,,,,1,,,,,,,,,,,,,,2,1,,
Lythrum,UPHE,pollen,NISP,,,,,,,,,,,,,11,8,2,3,,1,2,,,,
Mentha-type,UPHE,pollen,NISP,,3,,1,3,6,3,4,3,6,3,,3,1,2,4,2,2,1,4,3,4,
Oleaceae,TRSH,pollen,NISP,,6,11,6,3,5,6,4,2,,2,,,1,1,4,3,1,4,11,2,2,4
Ostrya/Carpinus orientalis,TRSH,pollen,NISP,,11,23,13,11,19,18,22,13,17,13,10,7,8,6,15,17,21,21,23,13,11,7
Papaver,UPHE,pollen,NISP,,1,2,1,,2,2,,,,,,,,,,,,,2,,2,
Picea,TRSH,pollen,NISP,,2,2,,2,,2,1,2,,1,2,3,2,,1,,1,2,3,1,,
Pinguicula,UPHE,pollen,NISP,,,,,,,,,,,17,10,12,4,6,7,4,2,,9,4,,2
Pinus subg. Pinus-type,TRSH,pollen,NISP,,55,145,35,190,195,77,300,305,466,363,266,195,310,382,155,120,65,130,125,115,85,73
Plantago lanceolata,UPHE,pollen,NISP,,15,27,265,55,42,111,33,12,7,6,9,22,15,9,22,4,3,8,11,7,7,3
Poaceae,UPHE,pollen,NISP,,125,273,247,353,650,500,533,306,465,630,320,382,455,400,475,167,176,145,420,585,555,350
Polygonum aviculare,UPHE,pollen,NISP,,3,17,5,3,6,5,4,3,2,,8,13,2,1,5,2,3,1,,,1,2
Polypodiaceae,VACR,spore,NISP,,4,5,4,6,5,11,15,5,13,4,3,4,6,11,23,25,55,93,28,37,178,18
Poterium sanguisorba,UPHE,pollen,NISP,,2,,,,,,2,,,,,,,,,,,,,,,
Primulaceae,UPHE,pollen,NISP,,2,1,2,2,,,1,2,,,,3,2,,1,1,,,1,2,2,
Pteridium aquilinum,VACR,spore,NISP,,,1,,11,,2,11,6,3,,1,,,1,5,,3,2,,,2,1
Quercus,TRSH,pollen,NISP,,32,37,23,22,26,18,42,35,26,45,31,41,33,38,13,16,12,15,16,14,7,8
Ranunculaceae,UPHE,pollen,NISP,,33,77,25,41,19,39,31,36,36,58,31,85,74,66,71,19,21,60,75,85,55,61
Rosaceae,UPHE,pollen,NISP,,27,77,53,45,31,60,55,23,19,21,22,33,25,21,18,11,8,4,8,5,3,4
Rubiaceae,TRSH,pollen,NISP,,11,4,8,5,3,15,6,3,5,2,7,11,10,4,9,6,5,9,6,5,2,3
Rumex,UPHE,pollen,NISP,,13,31,38,37,31,33,37,15,33,22,25,34,41,18,51,15,25,30,45,72,41,25
Rutaceae,TRSH,pollen,NISP,,15,3,,,,2,2,,,,,2,1,2,,,,,,,,
Salix,TRSH,pollen,NISP,,3,5,2,3,3,7,3,3,2,4,2,6,4,5,16,25,28,44,41,8,2,3
Sambucus,TRSH,pollen,NISP,,3,7,5,4,1,8,,2,4,4,2,2,2,2,,,,,6,3,,1
Saxifragaceae,UPHE,pollen,NISP,,2,,,,,1,3,,,2,1,,2,,,,1,2,3,7,5,
Scabiosa,UPHE,pollen,NISP,,2,,,,4,1,,1,2,,,2,1,,1,,,,2,,2,
Scrophulariaceae,UPHE,pollen,NISP,,5,5,5,3,7,3,8,4,7,4,5,14,10,4,11,21,25,11,27,9,22,9
Secale,UPHE,pollen,NISP,,2,5,8,11,2,3,8,2,3,1,1,7,7,1,5,1,2,4,4,3,12,11
Sphagnum,AQBR,spore,NISP,,2,2,3,3,2,2,1,,2,,,5,1,3,1,2,3,,,,,
Stachys-type,UPHE,pollen,NISP,,,1,2,,4,3,5,1,2,,,,,,2,3,3,2,3,2,,
Taraxacum-type,UPHE,pollen,NISP,,7,25,155,5,11,21,15,5,7,3,11,17,7,15,9,8,12,17,21,23,35,42
Thalictrum,UPHE,pollen,NISP,,,2,,2,,,,,,,,,,,1,,1,,2,1,,
Tilia,TRSH,pollen,NISP,,2,1,,1,2,3,2,5,2,1,2,6,3,3,2,6,8,7,11,21,11,19
Typha latifolia,AQVP,pollen,NISP,,4,,,,,,1,,,,,,,,,,,,3,3,33,18
Typha/Sparganium-type,AQVP,pollen,NISP,,,,,,,1,5,2,,2,,,,,,,,,1,2,6,3
Ulmus,TRSH,pollen,NISP,,6,2,15,2,1,5,2,3,4,6,1,2,4,2,9,7,10,11,17,17,15,17
Urtica,UPHE,pollen,NISP,,3,6,11,4,3,5,8,1,2,3,2,3,,,2,3,2,7,4,2,2,
Vaccinium-type,TRSH,pollen,NISP,,10,12,2,5,1,4,5,3,3,4,2,3,2,3,2,1,3,2,3,2,,
Valerianoideae,UPHE,pollen,NISP,,1,,3,5,2,1,,1,,,,,2,,3,1,,,1,2,7,10
Varia,UNID,pollen/spore,NISP,,,2,5,8,4,7,7,5,4,3,5,5,3,4,3,5,7,5,4,3,7,3
Viburnum,TRSH,pollen,NISP,,1,2,1,,,1,3,,,1,,2,1,2,2,,1,3,13,5,1,3
Vitis,TRSH,pollen,NISP,,3,2,2,3,3,3,3,2,2,,,5,,1,2,,,,,,,